epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75976,0.30002,2.82023,1.00867,0.27917,0.7466,0.37517,0.36248,0.28132,2.03767,0.60082,0.000275683,0.000275683,0.000275683
2,16.0633,0.22484,1.90636,0.94613,0.48495,0.61701,0.60211,0.55979,0.27672,2.47595,0.55596,0.000522916,0.000522916,0.000522916
3,23.4361,0.20463,1.59362,0.9218,0.60322,0.84852,0.77194,0.7454,0.2366,1.10808,0.51005,0.000739605,0.000739605,0.000739605
4,30.6757,0.19648,1.43181,0.92052,0.59454,0.78401,0.78197,0.74772,0.22437,1.12111,0.51286,0.000695555,0.000695555,0.000695555
5,37.7934,0.18383,1.27133,0.90891,0.70045,0.78993,0.84967,0.82848,0.20542,0.91617,0.47813,0.00064974,0.00064974,0.00064974
6,44.6469,0.16176,1.20083,0.90536,0.83046,0.82348,0.88382,0.86821,0.19217,0.83526,0.48864,0.000603925,0.000603925,0.000603925
7,51.6575,0.15555,1.1409,0.90312,0.80916,0.89577,0.92842,0.92556,0.13884,0.63103,0.43442,0.00055811,0.00055811,0.00055811
8,58.6611,0.15077,1.11042,0.89799,0.84449,0.82956,0.92158,0.90837,0.21719,0.75866,0.49845,0.000512295,0.000512295,0.000512295
9,90.424,0.14545,1.1085,0.90489,0.81262,0.84274,0.89427,0.89353,0.14449,0.79036,0.42722,0.00046648,0.00046648,0.00046648
10,97.8036,0.11409,0.95649,0.87963,0.83934,0.86875,0.92273,0.9205,0.12939,0.62042,0.40535,0.000420665,0.000420665,0.000420665
11,105.307,0.11003,0.82982,0.87747,0.87264,0.79296,0.93331,0.93138,0.1316,0.63375,0.41481,0.00037485,0.00037485,0.00037485
12,112.648,0.09725,0.7743,0.87058,0.86447,0.85064,0.92508,0.92311,0.15058,0.57915,0.42564,0.000329035,0.000329035,0.000329035
13,119.601,0.08625,0.68232,0.86678,0.8843,0.8802,0.94934,0.94867,0.14624,0.51055,0.41735,0.00028322,0.00028322,0.00028322
14,126.476,0.08255,0.63359,0.86807,0.93297,0.90277,0.95334,0.95265,0.107,0.45548,0.39302,0.000237405,0.000237405,0.000237405
15,133.47,0.07511,0.5877,0.86023,0.94094,0.86612,0.95503,0.95503,0.10555,0.42781,0.39202,0.00019159,0.00019159,0.00019159
16,140.566,0.06935,0.52872,0.86433,0.88317,0.90742,0.94756,0.94756,0.10397,0.45513,0.39019,0.000145775,0.000145775,0.000145775
17,147.798,0.06283,0.4841,0.8613,0.94966,0.87668,0.96023,0.96023,0.09751,0.39226,0.38487,9.996e-05,9.996e-05,9.996e-05
18,154.878,0.06123,0.46058,0.86798,0.91847,0.91047,0.96009,0.96009,0.11474,0.40359,0.39931,5.4145e-05,5.4145e-05,5.4145e-05
