epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24352,0.67834,2.24772,1.27656,0.00333,1,0.82479,0.63483,0.34757,2.5417,0.81214,0.00028,0.00028,0.00028
2,2.21722,0.28254,1.27148,0.98193,0.81226,0.34697,0.60438,0.43308,0.71779,2.44575,1.14844,0.00053215,0.00053215,0.00053215
3,28.8493,0.45435,1.80764,1.15474,0.95879,0.93102,0.98246,0.73377,0.58085,1.48497,1.04581,0.0007348,0.0007348,0.0007348
4,30.0261,0.35621,1.24558,1.06116,0.97809,1,0.995,0.8076,0.54436,1.40034,1.18376,0.00088795,0.00088795,0.00088795
5,31.1345,0.27137,0.95527,1.00757,0.85408,1,0.98907,0.76481,0.56959,2.1634,1.13454,0.0009916,0.0009916,0.0009916
6,32.1945,0.2471,0.88519,0.98854,0.96154,1,0.95808,0.8438,0.25884,3.13008,0.60415,0.00104575,0.00104575,0.00104575
7,33.2348,0.23687,0.81732,0.9698,0.96154,1,0.98885,0.86548,0.26932,2.35279,0.61794,0.00101,0.00101,0.00101
8,34.2652,0.19327,0.76331,0.94703,0.98322,1,0.995,0.94508,0.25748,1.38498,0.60021,0.000845,0.000845,0.000845
9,35.298,0.1829,0.73267,0.91521,1,1,0.995,0.94537,0.18778,1.11061,0.55565,0.00068,0.00068,0.00068
10,36.2801,0.15963,0.66103,0.88684,0.99579,1,0.995,0.99021,0.21411,0.77019,0.58089,0.000515,0.000515,0.000515
11,37.2592,0.17018,0.64915,0.95026,0.99702,1,0.995,0.995,0.18398,0.52235,0.56227,0.00035,0.00035,0.00035
12,38.2257,0.13971,0.6266,0.90156,0.9973,1,0.995,0.995,0.17182,0.43996,0.55976,0.000185,0.000185,0.000185
